Station, Calculated Magnitude, NEIC Magnitude, Event Distance, Event Lat, Event Lon 
R5BDD,3.16431897734,3.1,144.151079592,36.3672,-98.1587
R5BDD,3.09212401825,2.3,100.050960608,36.0198,-97.9194
R5BDD,3.46804245276,3.7,100.830644064,36.0319,-97.9082
R5BDD,4.18174782097,2.6,114.102809022,36.2321,-97.5444
R5BDD,4.44520837565,3.7,100.417514587,36.0263,-97.9121
R5BDD,3.31248398815,2.8,100.493885497,36.0266,-97.9133
R5BDD,4.40298599507,2.6,100.626571861,36.028,-97.9131
R5BDD,3.37404943398,2.6,100.726888759,36.029,-97.9131
R5BDD,4.46777660584,2.7,100.9422625,36.0335,-97.9069
R5BDD,2.63131216176,3.2,100.969836814,36.0343,-97.9055
R5BDD,2.52410630246,3.1,100.784724771,36.0328,-97.9046
R5BDD,3.1874042499,3.3,171.275770839,36.5046,-98.4681
R5BDD,2.05497146702,2.3,43.472963767,35.5783,-97.287
R5BDD,2.60205863064,2.8,62.0921421574,35.374,-98.0922
R5BDD,2.60878634131,2.3,113.358034258,36.2188,-97.2651
R5BDD,3.52090971706,2.7,183.710774222,36.4921,-98.7233
R5BDD,2.35618312228,2.6,23.3484464831,35.2289,-97.6957
R5BDD,4.34914642349,3.1,119.434922125,36.2824,-97.504
R5BDD,2.21583428542,2.5,45.1297558387,35.4223,-97.0194
R5BDD,1.95903145965,2.2,44.4242944177,35.4931,-97.7828
R5BDD,2.91997449614,2.7,62.3258562467,35.3787,-98.0931
R5BDD,3.7221367789,2.6,183.432938841,36.4597,-98.7658
R5BDD,3.03351496073,2.4,70.6696720264,35.8429,-97.3917
R5BDD,4.31563096115,2.5,113.371556387,36.2189,-97.2649
R5BDD,3.48166700005,2.8,164.447255559,36.6606,-97.7974
R5BDD,2.68010371536,2.7,121.081662472,36.2968,-97.5149
R5BDD,3.48574091089,3.3,196.059181123,36.9603,-97.7125
R5BDD,3.2178287724,2.9,204.825951191,36.9065,-98.3287
R5BDD,2.28269068051,2.7,61.7824315614,35.3767,-98.0876
R5BDD,2.51789738941,2.9,100.113993468,36.1028,-97.5753
R5BDD,3.11651670282,2.5,61.7585947555,35.3985,-98.0783
